NAME,SENTENCE,IN_S,IN_O,OUT_O,NON
1,심심할 새벽에 하는 캔디크러쉬는 눈이 아프지만 재미있다.,캔디크러쉬,새벽,재미,지우개
2,모바일결제(ISP)를 사용하기 전 문제가 없는지 확인하는 일은 중요하다 ,모바일결제(ISP),문제,중요,선택
3,지그재그에서 산 옷에서 나는 과일 향은 내가 좋아하는 향이다,지그재그,과일,향,딸기
4,사촌과 카카오톡에서 대화를 나누던 중 들어온 과외는 모처럼의 기회이다,카카오톡,대화,기회,소리
5,사진을 찍은 뒤 꼭 네이버클라우드에 사진을 올릴 것을 충고했다 ,네이버클라우드,사진,충고,신용
6,복도 저편에 있는 그녀는 포토원더로 얼굴을 보정하지 않아도 예쁠만큼 미인이다,포토원더,복도,미인,과자
7,연인들이 주로 사용하는 비트윈이 계산해주는 것은 기념일이다,비트윈,연인,기념일,눈썹
8,쿠팡에서 본 화려한 꽃모양이 그려진 접시는 내 취향이다,쿠팡,접시,취항,심리
9,이유가 있는 것은 아니지만 11번가에서 옷을 사는 것은 나에게 기쁨이다,11번가,이유,기쁨,한국
10,내성적인 남자들에게 캔디카메라로 얼굴 사진을 찍는 것은 부끄러운 행동이다,캔디카메라,남자,행동,시계
11,숙제를 덜한 벌으로 프렌즈팝을 금지시키자 아들은 밥을 안 먹고 반항했다,프렌즈팝,숙제,반항,교회
12,스마트뱅킹을 통해 돈을 결제하고 난 후 통장에 들어있는 돈을 확인했다,스마트뱅킹,결제,확인,노트
13,다방에서 찾은 집을 갔으나 사진에 비해 집 상태가 엉망이다,다방,사진,엉망,도서관
14,동창회를 하기 전 밴드로 친구들과 연락하는 것은 즐거움이다.,밴드,얀릭,즐거움,휴지
15,물건의 가격을 비교할 수 있는 것은 티몬의 장점이다,티몬,물건,장점,물통
16,애니팡을 한다고 택시를 놓친 그가 내게 화를 낸 것은 잘못이다,애니팡,택시,잘못,미용
17,후즈콜에서 검색한 번호의 주인은 당황스럽게도 나의 동생이다 ,후즈콜,번호,동생,의자
18,그는 현금을 가지고 있지만 페이코로 결제를 하는 것은 그의 습관이다,페이코,현금,습관,책상
19,대중들이 페이스북에 관심을 갖도록 하는 것이 그의 능력이다,페이스북,관심,능력,과학
20,우울한 나를 기쁘게 하는것은 인스타그램 속의 그녀의 얼굴이다,인스타그램,우울,얼굴,미래
21,다른 사람과 모두의마블을 할 때 방을 나가지 않는 것은 매너이다,모두의마블,방,매너,양말
22,카카오택시를 사용해 빨리 집으로 돌아간 그는 매우 현명하다,카카오택시,집,현명,지혜
23,유트브에서 높은 조회수가 올라갔지만 시간이 지나니 조회 수가 하락했다,유트브,시간,하락,로봇
24,개학을 하기 전 직방을 통해 방을 찾는 것은 필수이다,직방,개학,필수,김치
25,햇살을 즐기며 누워서 네이버웹툰을 본 곳은 아름다운 공원이다,네이버웹툰,햇살,공원,안경
26,요기요배달에서 시킨 음식의 맛은 배달요리지만 훌륭한 수준이었다,요기요배달,음식,수준,약
27,라인에서 이야기를 나눌 때 가장 괴로운 것은 사람들의 무시이다,라인,사람,무시,신발
28,네이버에서 본 기사에 나온 요리는 동물도 잘 먹지 않는 음식이다,네이버,동물,음식,사회
29,오늘은 멜론을 통해 노래를 들으며 소풍가기 좋은 날씨이다,멜론,소풍,날씨,지식
30,매일 밤 피키케스트에 올라온 운동을 따라하는 것은 건강에 좋은 행동이다,피키케스트,운동,행동,화장품
31,백화점을 갈 때 지하철종결자를 사용할 수 있어서 다행이다.,지하철종결자,백화점,다행,공학
32,위메프에서 산 옷에 그려진 마크는 태극기이다,위메프,옷,태극기,처벌
33,그녀가 네이버켈린더를 확인하다가 유부남인 그의 생일을 본것은 운명이다,네이버켈린더,유부남 ,운명,볼펜
34,길을 찾지 못하던 나에게 네이버지도를 알려준 사람은 누나이다,네이버지도,길,누나,연필
35,선생님은 아이들을 위해 배달의민족을 통해 음식을 시켰으나 음식이 부족했다.,배달의민족,음식,부족,신문
36,연휴가 오기 전에 코레일톡을 통해 기차를 예약하는 것은 기술이다,코레일톡,연휴,기술,노래
